state_id,state_name,shapeISO,shapeID,area_km2,region,national_share_pct
IN-PY,Puducherry,IN-PY,1811400B81659894240990,492.0,Southern,0.01
IN-MH,Maharashtra,IN-MH,1811400B15614733245507,307713.0,Western,9.36
IN-NL,Nagaland,IN-NL,1811400B74762431478096,16579.0,Northeastern,0.5
IN-LD,Lakshadweep,IN-LD,1811400B55669546485086,,,
IN-UP,Uttar Pradesh,IN-UP,1811400B11231190780494,240928.0,Northern,7.33
IN-TN,Tamil Nadu,IN-TN,1811400B21167269026319,130058.0,Southern,3.95
IN-CT,Chhattisgarh,IN-CT,1811400B70654311394581,135191.0,Central,4.11
IN-GJ,Gujarat,IN-GJ,1811400B80305611676067,196024.0,Western,5.96
IN-DL,Delhi,IN-DL,1811400B23625213884851,1483.0,Northern,0.04
IN-SK,Sikkim,IN-SK,1811400B15456792557830,7096.0,Northeastern,0.21
IN-TR,Tripura,IN-TR,1811400B57209440839078,10486.0,Northeastern,0.31
IN-WB,West Bengal,IN-WB,1811400B32673734874058,88752.0,Eastern,2.7
IN-OR,Odisha,IN-OR,1811400B82358585030651,155707.0,Eastern,4.73
IN-BR,Bihar,IN-BR,1811400B26595099860318,94163.0,Eastern,2.86
IN-LA,Ladakh,IN-LA,1811400B23769854471902,59146.0,Northern,1.8
IN-RJ,Rajasthan,IN-RJ,1811400B37341166588993,342239.0,Northern,10.55
IN-TG,Telangana,IN-TG,1811400B25711494603400,112077.0,Southern,3.49
IN-AP,Andhra Pradesh,IN-AP,1811400B84418948762846,162970.0,Southern,4.87
IN-MZ,Mizoram,IN-MZ,1811400B49281905528064,21081.0,Northeastern,0.64
IN-AR,Arunachal Pradesh,IN-AR,1811400B16134215155042,83743.0,Northeastern,2.54
IN-ML,Meghalaya,IN-ML,1811400B28404458933503,22429.0,Northeastern,0.68
IN-JH,Jharkhand,IN-JH,1811400B52412412689061,79714.0,Eastern,2.42
IN-AS,Assam,IN-AS,1811400B78322693766699,78438.0,Northeastern,2.38
IN-MN,Manipur,IN-MN,1811400B97532436596698,22327.0,Northeastern,0.68
IN-KA,Karnataka,IN-KA,1811400B56841107211215,191791.0,Southern,5.83
IN-UT,Uttarakhand,IN-UT,1811400B3558497485804,53483.0,Northern,1.62
IN-DH,Dadra and Nagar Haveli and Daman and Diu,IN-DH,1811400B51283975314925,603.0,Western,0.01
IN-MP,Madhya Pradesh,IN-MP,1811400B75807316846587,308350.0,Central,9.37
IN-GA,Goa,IN-GA,1811400B6111924962807,3702.0,Western,0.11
IN-KL,Kerala,IN-KL,1811400B45534780755480,38863.0,Southern,1.18
IN-CH,Chandigarh,IN-CH,1811400B77692474244036,114.0,Northern,0.003
IN-AN,Andaman and Nicobar Islands,IN-AN,1811400B21325138943523,,,
IN-HP,Himachal Pradesh,IN-HP,1811400B21086746745937,55673.0,Northern,1.7
IN-JK,Jammu and Kashmir,IN-JK,1811400B42025667129192,42241.0,Northern,1.28
IN-PB,Punjab,IN-PB,1811400B91946361694107,50362.0,Northern,1.53
IN-HR,Haryana,IN-HR,1811400B68407848780347,44212.0,Northern,1.34
