Region,State_UT,Sector,Coal_MW,Lignite_MW,Gas_MW,Diesel_MW,Thermal_Total_MW,Nuclear_MW,Hydro_MW,RES_MNRE_MW,Total_RES_incl_Hydro_MW,Grand_Total_MW,thermal_share_pct,hydro_share_pct,nuclear_share_pct,res_share_pct,coal_share_thermal_pct,lignite_share_thermal_pct,gas_share_thermal_pct,diesel_share_thermal_pct,non_fossil_capacity_mw,non_fossil_share_pct
Northern Region,Northern Region,State,0.0,0.0,1800.4,0.0,1800.4,0.0,0.0,0.0,0.0,1800.4,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Northern Region,Northern Region,Private,878.22,0.0,0.0,0.0,878.22,0.0,0.0,546.1,546.1,1424.32,61.65889687710627,0.0,0.0,38.341103122893735,100.0,0.0,0.0,0.0,546.1,38.341103122893735
Northern Region,Northern Region,Central,2786.14,0.0,207.01,0.0,2993.16,153.38,1178.01,0.37,1178.38,4324.92,69.20729169556893,27.23772925279543,3.5464239800967414,0.008555071538895516,93.0835638589317,0.0,6.91610204599821,0.0,1331.7599999999998,30.79270830443106
Northern Region,Northern Region,Sub-Total,3664.36,0.0,2007.41,0.0,5671.78,153.38,1178.01,546.47,1724.48,7549.64,75.12649609782717,15.60352546611494,2.031620050757387,7.238358385300492,64.60687826396652,0.0,35.39294542454044,0.0,1877.86,24.873503902172818
Northern Region,Northern Region,State,2510.0,0.0,150.0,0.0,2660.0,0.0,200.0,142.6,342.6,3002.6,88.58988876307201,6.660893891960301,0.0,4.749217344967695,94.3609022556391,0.0,5.639097744360902,0.0,342.6,11.410111236927998
Northern Region,Northern Region,Private,4561.78,0.0,0.0,0.0,4561.78,0.0,539.0,3113.24,3652.24,8214.02,55.53650952882997,6.561951395297308,0.0,37.90153907587271,100.0,0.0,0.0,0.0,3652.24,44.46349047117002
Northern Region,Northern Region,Central,1610.81,0.0,431.59,0.0,2042.4,123.04,1702.12,5.0,1707.12,3872.56,52.74030615406863,43.95335385378147,3.177226434193402,0.1291135579564939,78.86848805327065,0.0,21.131511946729336,0.0,1830.1599999999999,47.25969384593137
Northern Region,Northern Region,Sub-Total,8682.59,0.0,581.59,0.0,9264.18,123.04,2441.12,3260.84,5701.96,15089.18,61.396179248971784,16.17795002776824,0.8154187305075558,21.610451992752424,93.72216429300812,0.0,6.277835706991876,0.0,5825.0,38.603820751028216
Northern Region,Northern Region,State,0.0,0.0,0.0,0.0,0.0,0.0,905.59,262.91,1168.5,1168.5,0.0,77.50021394950792,0.0,22.499786050492084,,,,,1168.5,100.0
Northern Region,Northern Region,Private,0.0,0.0,0.0,0.0,0.0,0.0,1609.4,1145.04,2754.44,2754.44,0.0,58.429299603549175,0.0,41.570700396450825,,,,,2754.44,100.0
Northern Region,Northern Region,Central,144.67,0.0,0.0,0.0,144.67,42.22,1432.02,1.0,1433.02,1619.92,8.930687935206675,88.40066176107462,2.606301545755346,0.061731443528075455,100.0,0.0,0.0,0.0,1475.24,91.06869475035803
Northern Region,Northern Region,Sub-Total,144.67,0.0,0.0,0.0,144.67,42.22,3947.01,1408.95,5355.96,5542.86,2.61002442782246,71.20890659334712,0.76170063829864,25.419187928253645,100.0,0.0,0.0,0.0,5398.18,97.38979515989942
Northern Region,Northern Region,State,0.0,0.0,0.0,0.0,0.0,0.0,1230.0,142.97,1372.97,1372.97,0.0,89.58680816041137,0.0,10.41319183958863,,,,,1372.97,100.0
Northern Region,Northern Region,Private,0.0,0.0,0.0,0.0,0.0,0.0,0.0,284.43,284.43,284.43,0.0,0.0,0.0,100.0,,,,,284.43,100.0
Northern Region,Ladakh,Central,577.1,0.0,129.07,0.0,706.18,95.13,1115.88,0.0,1115.88,1917.19,36.834116597728965,58.203933882400804,4.961949519870227,0.0,81.72137415389845,0.0,18.277209776544222,0.0,1211.0100000000002,63.16588340227104
Northern Region,Ladakh,Sub-Total,577.1,0.0,129.07,0.0,706.18,95.13,2345.88,427.4,2773.28,3574.58,19.755607651808045,65.62673097258978,2.661291676224899,11.956649452523093,81.72137415389845,0.0,18.277209776544222,0.0,2868.4100000000003,80.24467210133778
Northern Region,Ladakh,State,2300.0,0.0,150.0,0.0,2450.0,0.0,1243.4,135.3,1378.7,3828.7,63.99038838247969,32.475775067255206,0.0,3.5338365502651037,93.87755102040816,0.0,6.122448979591836,0.0,1378.7,36.00961161752031
Northern Region,Ladakh,Private,4474.0,0.0,0.0,0.0,4474.0,0.0,288.0,2226.58,2514.58,6988.58,64.01872769575508,4.1210088458599605,0.0,31.860263458384964,100.0,0.0,0.0,0.0,2514.58,35.981272304244925
Northern Region,Ladakh,Central,1476.0,0.0,0.0,0.0,1476.0,229.09,2296.04,0.0,2296.04,4001.12,36.8896708921502,57.38493221897869,5.725646818890711,0.0,100.0,0.0,0.0,0.0,2525.13,63.1105790378694
Northern Region,Ladakh,Sub-Total,8250.0,0.0,150.0,0.0,8400.0,229.09,3827.44,2361.88,6189.32,14818.41,56.6862436658184,25.82895195908333,1.5459823287383734,15.938822046359903,98.21428571428571,0.0,1.7857142857142856,0.0,6418.41,43.313756334181605
Northern Region,Ladakh,State,7580.0,250.0,603.5,0.0,8433.5,0.0,434.5,184.2,618.7,9052.2,93.16519741057422,4.799938136585581,0.0,2.034864452840193,89.87964664729947,2.964368293116737,7.155985059583802,0.0,618.7,6.834802589425775
Northern Region,Ladakh,Private,3301.0,1080.0,0.0,0.0,4381.0,0.0,104.0,44287.82,44391.82,48772.82,8.982461953194424,0.2132335181767222,0.0,90.80430452862885,75.34809404245605,24.65190595754394,0.0,0.0,44391.82,91.01753804680558
Northern Region,Ladakh,Central,1491.64,250.0,171.13,0.0,1912.77,806.74,1665.17,5450.82,7115.99,9835.5,19.44761323776117,16.93020181993798,8.202328300543948,55.419856641756894,77.9832389675706,13.070050241273126,8.946710791156281,0.0,7922.73,80.55238676223883
Northern Region,Ladakh,Sub-Total,12372.64,1580.0,774.63,0.0,14727.27,806.74,2203.67,49922.84,52126.51,67660.52,21.76641562908473,3.256951025502021,1.192334909634156,73.78429843577908,84.01176864415469,10.72839704846859,5.259834307376724,0.0,52933.25,78.23358437091527
Northern Region,Ladakh,State,9115.0,0.0,0.0,0.0,9115.0,0.0,724.1,21.13,745.23,9860.23,92.44206271050473,7.343642085428029,0.0,0.21429520406724795,100.0,0.0,0.0,0.0,745.23,7.557937289495276
Northern Region,Ladakh,Private,8814.33,0.0,0.0,0.0,8814.33,0.0,842.4,7816.73,8659.13,17473.46,50.44410208396047,4.821025715570928,0.0,44.734872200468594,100.0,0.0,0.0,0.0,8659.13,49.55589791603952
Northern Region,Ladakh,Central,8238.19,0.0,1029.51,0.0,9267.7,370.45,2108.52,567.06,2675.58,12313.73,75.26314122528268,17.123324938909658,3.008430426848729,4.605103408958942,88.89141858281991,0.0,11.108581417180098,0.0,3046.0299999999997,24.736858774717327
Northern Region,Ladakh,Sub-Total,26167.52,0.0,1029.51,0.0,27197.03,370.45,3675.02,8404.92,12079.94,39647.42,68.59722524189468,9.26925383795465,0.9343609243678404,21.19915999578283,96.21462343498537,0.0,3.785376565014636,0.0,12450.39,31.402774758105316
Northern Region,Ladakh,State,0.0,0.0,0.0,0.0,0.0,0.0,1372.15,3.1,1375.25,1375.25,0.0,99.77458643882932,0.0,0.22541356117069625,,,,,1375.25,100.0
Northern Region,Ladakh,Private,99.0,0.0,664.0,0.0,763.0,0.0,248.2,1281.85,1530.05,2293.05,33.2744597806415,10.82401168749046,0.0,55.901528531868024,12.975098296199214,0.0,87.02490170380078,0.0,1530.05,66.72554021935849
Northern Region,Ladakh,Central,554.63,0.0,69.66,0.0,624.29,47.51,743.5,2.24,745.74,1417.53,44.040690496850154,52.45038905702172,3.351604551579155,0.15802134699089262,88.84172419868972,0.0,11.158275801310289,0.0,793.25,55.960014955591774
