state_id,state_name,biomass_bagasse_cogen_mw,biomass_non_bagasse_cogen_mw,waste_to_energy_grid_mw,waste_to_energy_offgrid_mw,solar_ground_mounted_mw,solar_rooftop_mw,solar_hybrid_component_mw,solar_offgrid_kusum_mw,biomass_breakdown_total_mw,waste_to_energy_total_mw,solar_breakdown_total_mw
IN-AN,Andaman and Nicobar Islands,0.0,0.0,0.0,0.0,25.05,4.59,0.0,0.27,0.0,0.0,29.91
IN-AP,Andhra Pradesh,378.1,113.57,53.16,49.19,4990.86,290.8,0.0,88.34,491.67,102.35,5370.0
IN-AR,Arunachal Pradesh,0.0,0.0,0.0,0.0,1.27,6.68,0.0,6.9,0.0,0.0,14.85
IN-AS,Assam,0.0,2.0,0.0,0.0,126.0,61.1,0.0,9.44,2.0,0.0,196.54
IN-BR,Bihar,112.5,26.4,0.0,1.32,196.06,111.0,0.0,21.28,138.9,1.32,328.34000000000003
IN-CH,Chandigarh,0.0,0.0,0.0,0.0,6.34,71.7,0.0,0.81,0.0,0.0,78.85000000000001
IN-CT,Chhattisgarh,272.09,2.5,0.0,10.83,848.91,107.4,0.0,390.73,274.59,10.83,1347.04
IN-DH,Dadra and Nagar Haveli and Daman and Diu,3.75,0.0,0.0,0.0,14.3,33.82,0.0,0.0,3.75,0.0,48.120000000000005
IN-DL,Delhi,0.0,0.0,84.0,0.0,9.84,302.1,0.0,1.46,0.0,84.0,313.4
IN-GA,Goa,0.0,0.0,1.94,0.0,1.95,53.0,0.0,1.49,0.0,1.94,56.440000000000005
IN-GJ,Gujarat,65.3,12.0,7.5,37.45,12482.93,5105.2,813.5,95.03,77.3,44.95,18496.66
IN-HR,Haryana,151.4,111.26,11.2,37.61,266.8,828.5,0.0,969.67,262.66,48.81,2064.97
IN-HP,Himachal Pradesh,0.0,9.2,0.0,1.0,145.05,24.63,0.0,34.58,9.2,1.0,204.26
IN-JK,Jammu and Kashmir,0.0,0.0,0.0,0.0,2.49,42.2,0.0,29.8,0.0,0.0,74.49000000000001
IN-JH,Jharkhand,0.0,19.1,0.0,1.04,21.0,93.04,0.0,85.83,19.1,1.04,199.87
IN-KA,Karnataka,1868.91,20.2,1.0,22.84,8862.8,696.7,81.0,39.16,1889.1100000000001,23.84,9679.66
IN-KL,Kerala,0.0,2.27,0.0,0.23,323.21,1190.8,0.0,24.93,2.27,0.23,1538.94
IN-LA,Ladakh,0.0,0.0,0.0,0.0,6.0,1.8,0.0,0.0,0.0,0.0,7.8
IN-LD,Lakshadweep,0.0,0.0,0.0,0.0,2.45,0.0,0.0,2.52,0.0,0.0,4.970000000000001
IN-MP,Madhya Pradesh,92.5,14.85,15.4,32.71,4503.24,513.1,0.0,102.04,107.35,48.11,5118.38
IN-MH,Maharashtra,2907.3,16.4,12.59,62.01,5994.7,3298.2,0.0,394.37,2923.7000000000003,74.6,9687.27
IN-MN,Manipur,0.0,0.0,0.0,0.0,0.6,7.11,0.0,6.08,0.0,0.0,13.79
IN-ML,Meghalaya,0.0,13.8,0.0,0.0,0.0,0.21,0.0,4.07,13.8,0.0,4.28
IN-MZ,Mizoram,0.0,0.0,0.0,0.0,22.0,2.0,0.0,6.39,0.0,0.0,30.39
IN-NL,Nagaland,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.17,0.0,0.0,3.17
IN-OR,Odisha,50.4,8.82,0.0,5.0,512.0,70.1,0.0,42.34,59.22,5.0,624.44
IN-PY,Puducherry,0.0,0.0,0.0,0.0,1.03,53.3,0.0,0.18,0.0,0.0,54.51
IN-PB,Punjab,299.5,231.79,10.75,34.55,886.27,453.8,0.0,81.36,531.29,45.3,1421.4299999999998
IN-RJ,Rajasthan,134.15,2.0,59.6,10.52,23985.22,0.0,980.0,805.45,136.15,70.12,25770.670000000002
IN-SK,Sikkim,0.0,0.0,0.0,0.0,0.52,5.12,0.0,1.92,0.0,0.0,7.5600000000000005
IN-TN,Tamil Nadu,969.1,43.55,6.4,27.57,9150.98,932.2,0.0,70.4,1012.65,33.97,10153.58
IN-TG,Telangana,158.1,3.3,45.8,14.47,4360.49,472.9,0.0,8.71,161.4,60.269999999999996,4842.099999999999
IN-TR,Tripura,0.0,0.0,0.0,0.0,5.1,4.8,0.0,11.34,0.0,0.0,21.24
IN-UP,Uttar Pradesh,1985.5,165.26,0.0,158.38,2717.45,321.9,0.0,324.72,2150.76,158.38,3364.0699999999997
IN-UT,Uttarakhand,72.72,60.0,0.0,15.81,298.4,273.71,0.0,20.96,132.72,15.81,593.0699999999999
IN-WB,West Bengal,300.0,43.52,0.0,8.34,240.35,67.13,0.0,13.14,343.52,8.34,320.62
