state_id,state_name,region,fiscal_year,cumulative_re_capacity_mw
IN-HR,Haryana,Northern Region,2017_18,510.49
IN-HP,Himachal Pradesh,Northern Region,2017_18,10514.3
IN-JK,Jammu and Kashmir,Northern Region,2017_18,3650.22
IN-LA,Ladakh,Northern Region,2017_18,0.0
IN-PB,Punjab,Northern Region,2017_18,2626.98
IN-RJ,Rajasthan,Northern Region,2017_18,7289.36
IN-UP,Uttar Pradesh,Northern Region,2017_18,3447.25
IN-UT,Uttarakhand,Northern Region,2017_18,4379.83
IN-CH,Chandigarh,Northern Region,2017_18,26.01
IN-DL,Delhi,Northern Region,2017_18,123.03
IN-AR,Arunachal Pradesh,Eastern Region,2017_18,517.0
IN-AS,Assam,Eastern Region,2017_18,378.39
IN-MN,Manipur,Eastern Region,2017_18,115.28
IN-ML,Meghalaya,Eastern Region,2017_18,418.85
IN-MZ,Mizoram,Eastern Region,2017_18,100.16
IN-NL,Nagaland,Eastern Region,2017_18,108.51
IN-TR,Tripura,Eastern Region,2017_18,24.53
IN-CT,Chhattisgarh,Western Region,2017_18,785.42
IN-GA,Goa,Western Region,2017_18,1.08
IN-GJ,Gujarat,Western Region,2017_18,9339.45
IN-MP,Madhya Pradesh,Western Region,2017_18,6445.13
IN-MH,Maharashtra,Western Region,2017_18,11519.21
IN-DH,Dadra and Nagar Haveli and Daman and Diu,Western Region,2017_18,16.07
IN-BR,Bihar,Eastern Region,2017_18,346.18
IN-JH,Jharkhand,Eastern Region,2017_18,320.14
IN-OR,Odisha,Eastern Region,2017_18,2364.94
IN-SK,Sikkim,Eastern Region,2017_18,2222.98
IN-WB,West Bengal,Eastern Region,2017_18,1747.46
IN-AP,Andhra Pradesh,Southern Region,2017_18,8060.58
IN-KA,Karnataka,Southern Region,2017_18,16241.6
IN-KL,Kerala,Southern Region,2017_18,2282.06
IN-TN,Tamil Nadu,Southern Region,2017_18,13451.7
IN-TG,Telangana,Southern Region,2017_18,6507.48
IN-LD,Lakshadweep,Southern Region,2017_18,3.14
IN-PY,Puducherry,Southern Region,2017_18,0.34
IN-HR,Haryana,Northern Region,2018_19,519.11
IN-HP,Himachal Pradesh,Northern Region,2018_19,10707.75
IN-JK,Jammu and Kashmir,Northern Region,2018_19,3664.1
IN-LA,Ladakh,Northern Region,2018_19,0.0
IN-PB,Punjab,Northern Region,2018_19,2522.38
IN-RJ,Rajasthan,Northern Region,2018_19,8223.73
IN-UP,Uttar Pradesh,Northern Region,2018_19,3739.46
IN-UT,Uttarakhand,Northern Region,2018_19,4426.88
IN-CH,Chandigarh,Northern Region,2018_19,35.52
IN-DL,Delhi,Northern Region,2018_19,180.35
IN-AR,Arunachal Pradesh,Eastern Region,2018_19,655.69
IN-AS,Assam,Eastern Region,2018_19,414.58
IN-MN,Manipur,Eastern Region,2018_19,118.66
IN-ML,Meghalaya,Eastern Region,2018_19,372.18
IN-MZ,Mizoram,Eastern Region,2018_19,101.2
IN-NL,Nagaland,Eastern Region,2018_19,108.51
IN-TR,Tripura,Eastern Region,2018_19,24.53
IN-CT,Chhattisgarh,Western Region,2018_19,850.77
IN-GA,Goa,Western Region,2018_19,4.09
IN-GJ,Gujarat,Western Region,2018_19,10697.72
IN-MP,Madhya Pradesh,Western Region,2018_19,6864.87
IN-MH,Maharashtra,Western Region,2018_19,12421.69
IN-DH,Dadra and Nagar Haveli and Daman and Diu,Western Region,2018_19,19.93
IN-BR,Bihar,Eastern Region,2018_19,352.23
IN-JH,Jharkhand,Eastern Region,2018_19,267.87
IN-OR,Odisha,Eastern Region,2018_19,2681.68
IN-SK,Sikkim,Eastern Region,2018_19,2222.99
IN-WB,West Bengal,Eastern Region,2018_19,1849.29
IN-AP,Andhra Pradesh,Southern Region,2018_19,9560.02
IN-KA,Karnataka,Southern Region,2018_19,17524.4
IN-KL,Kerala,Southern Region,2018_19,2290.71
IN-TN,Tamil Nadu,Southern Region,2018_19,14909.4
IN-TG,Telangana,Southern Region,2018_19,6405.96
IN-LD,Lakshadweep,Southern Region,2018_19,3.14
IN-PY,Puducherry,Southern Region,2018_19,3.32
IN-HR,Haryana,Northern Region,2019_20,547.19
IN-HP,Himachal Pradesh,Northern Region,2019_20,10768.91
IN-JK,Jammu and Kashmir,Northern Region,2019_20,3581.11
IN-LA,Ladakh,Northern Region,2019_20,89.0
IN-PB,Punjab,Northern Region,2019_20,2566.86
IN-RJ,Rajasthan,Northern Region,2019_20,10134.97
IN-UP,Uttar Pradesh,Northern Region,2019_20,3900.97
IN-UT,Uttarakhand,Northern Region,2019_20,4437.96
IN-CH,Chandigarh,Northern Region,2019_20,41.36
IN-DL,Delhi,Northern Region,2019_20,218.62
IN-AR,Arunachal Pradesh,Eastern Region,2019_20,955.98
IN-AS,Assam,Eastern Region,2019_20,433.86
IN-MN,Manipur,Eastern Region,2019_20,120.43
IN-ML,Meghalaya,Eastern Region,2019_20,372.18
IN-MZ,Mizoram,Eastern Region,2019_20,102.52
IN-NL,Nagaland,Eastern Region,2019_20,108.51
IN-TR,Tripura,Eastern Region,2019_20,28.91
IN-CT,Chhattisgarh,Western Region,2019_20,864.89
IN-GA,Goa,Western Region,2019_20,5.29
IN-GJ,Gujarat,Western Region,2019_20,12683.77
IN-MP,Madhya Pradesh,Western Region,2019_20,7285.75
IN-MH,Maharashtra,Western Region,2019_20,12822.27
IN-DH,Dadra and Nagar Haveli and Daman and Diu,Western Region,2019_20,25.32
IN-BR,Bihar,Eastern Region,2019_20,365.09
IN-JH,Jharkhand,Eastern Region,2019_20,273.8
IN-OR,Odisha,Eastern Region,2019_20,2686.38
IN-SK,Sikkim,Eastern Region,2019_20,2223.05
IN-WB,West Bengal,Eastern Region,2019_20,1888.03
IN-AP,Andhra Pradesh,Southern Region,2019_20,10091.4
IN-KA,Karnataka,Southern Region,2019_20,18918.1
IN-KL,Kerala,Southern Region,2019_20,2304.35
IN-TN,Tamil Nadu,Southern Region,2019_20,16588.8
IN-TG,Telangana,Southern Region,2019_20,6442.85
IN-LD,Lakshadweep,Southern Region,2019_20,3.27
IN-PY,Puducherry,Southern Region,2019_20,5.69
IN-HR,Haryana,Northern Region,2020_21,762.51
IN-HP,Himachal Pradesh,Northern Region,2020_21,10916.61
IN-JK,Jammu and Kashmir,Northern Region,2020_21,3588.11
IN-LA,Ladakh,Northern Region,2020_21,89.0
IN-PB,Punjab,Northern Region,2020_21,2743.8
IN-RJ,Rajasthan,Northern Region,2020_21,10812.35
IN-UP,Uttar Pradesh,Northern Region,2020_21,4563.07
IN-UT,Uttarakhand,Northern Region,2020_21,4589.24
IN-CH,Chandigarh,Northern Region,2020_21,45.97
IN-DL,Delhi,Northern Region,2020_21,246.43
IN-AR,Arunachal Pradesh,Eastern Region,2020_21,1256.27
IN-AS,Assam,Eastern Region,2020_21,437.67
IN-MN,Manipur,Eastern Region,2020_21,121.84
IN-ML,Meghalaya,Eastern Region,2020_21,372.18
IN-MZ,Mizoram,Eastern Region,2020_21,103.45
IN-NL,Nagaland,Eastern Region,2020_21,108.58
IN-TR,Tripura,Eastern Region,2020_21,29.57
IN-CT,Chhattisgarh,Western Region,2020_21,886.52
IN-GA,Goa,Western Region,2020_21,7.95
IN-GJ,Gujarat,Western Region,2020_21,15204.25
IN-MP,Madhya Pradesh,Western Region,2020_21,7526.97
IN-MH,Maharashtra,Western Region,2020_21,13382.85
IN-DH,Dadra and Nagar Haveli and Daman and Diu,Western Region,2020_21,46.01
IN-BR,Bihar,Eastern Region,2020_21,376.63
IN-JH,Jharkhand,Eastern Region,2020_21,288.21
IN-OR,Odisha,Eastern Region,2020_21,2715.63
IN-SK,Sikkim,Eastern Region,2020_21,2223.05
IN-WB,West Bengal,Eastern Region,2020_21,1923.44
IN-AP,Andhra Pradesh,Southern Region,2020_21,10696.1
IN-KA,Karnataka,Southern Region,2020_21,19149.3
IN-KL,Kerala,Southern Region,2020_21,2428.92
IN-TN,Tamil Nadu,Southern Region,2020_21,17476.7
IN-TG,Telangana,Southern Region,2020_21,6796.59
IN-LD,Lakshadweep,Southern Region,2020_21,3.27
