state_id,state_name,wind_potential_mw,small_hydro_potential_mw,biomass_potential_mw,bagasse_cogen_potential_mw,solar_ground_potential_mw,large_hydro_potential_mw,total_re_potential_mw
IN-AP,Andhra Pradesh,123336.0,409.32,1999.49,279.6,299312.12,2596.0,427932.53
IN-AR,Arunachal Pradesh,246.0,2064.92,18.46,0.0,467.52,50394.0,53190.9
IN-AS,Assam,459.0,201.99,321.89,0.0,19173.13,643.0,20799.010000000002
IN-BR,Bihar,4023.0,526.98,964.37,346.6,32991.49,130.1,38982.53999999999
IN-CT,Chhattisgarh,2749.0,1098.2,353.68,0.0,126484.29,1311.0,131996.16999999998
IN-GA,Goa,14.0,4.7,32.97,0.0,6752.35,0.0,6804.02
IN-GJ,Gujarat,180790.0,201.97,2637.84,554.7,243219.9,550.0,427954.41000000003
IN-HR,Haryana,593.0,107.4,1353.35,362.1,6468.1,0.0,8883.95
IN-HP,Himachal Pradesh,239.0,3460.34,69.71,0.0,21501.61,18305.0,43575.66
IN-JK,Jammu and Kashmir,0.0,1707.45,82.82,0.0,8588.94,12971.5,23350.71
IN-LA,Ladakh,1.0,0.0,0.0,0.0,8556.64,0.0,8557.64
IN-JH,Jharkhand,16.0,227.96,146.31,0.0,51831.29,300.0,52521.56
IN-KA,Karnataka,169251.0,3726.49,1793.88,1762.1,223278.99,4414.4,404226.86
IN-KL,Kerala,2621.0,647.15,778.41,0.0,12404.71,2472.75,18924.02
IN-MP,Madhya Pradesh,55423.0,820.44,2516.42,0.0,318972.16,2819.0,380551.01999999996
IN-MH,Maharashtra,173868.0,786.46,2629.55,3917.0,486678.68,3144.0,671023.69
IN-MN,Manipur,0.0,99.95,62.31,0.0,2293.92,615.0,3071.1800000000003
IN-ML,Meghalaya,55.0,230.05,68.54,0.0,14674.1,2026.0,17053.690000000002
IN-MZ,Mizoram,0.0,168.9,2.9,0.0,612.21,1926.7,2710.71
IN-NL,Nagaland,0.0,182.18,53.9,0.0,190.96,325.0,752.04
IN-OR,Odisha,12129.0,286.22,298.72,0.0,139474.33,2824.5,155012.77
IN-PB,Punjab,428.0,578.28,3022.11,414.4,9210.19,1300.73,14953.71
IN-RJ,Rajasthan,284250.0,51.67,1299.55,0.0,828781.44,411.0,1114793.66
IN-SK,Sikkim,0.0,266.64,4.73,0.0,254.46,6051.0,6576.83
IN-TN,Tamil Nadu,95107.0,604.46,1560.08,639.3,204765.06,1785.2,304461.10000000003
IN-TG,Telangana,54717.0,102.25,1678.36,117.4,140451.26,1302.0,198368.27000000002
IN-TR,Tripura,0.0,46.86,34.35,0.0,9105.85,0.0,9187.06
IN-UP,Uttar Pradesh,510.0,460.75,2800.31,4925.7,97842.99,501.6,107041.35
IN-UT,Uttarakhand,49.0,1664.31,93.34,215.1,0.0,3481.35,5503.099999999999
IN-WB,West Bengal,1281.0,392.06,1741.74,0.0,22742.39,809.2,26966.39
IN-AN,Andaman and Nicobar Islands,1245.0,7.27,18.13,0.0,594.22,0.0,1864.6200000000001
IN-CH,Chandigarh,0.0,0.0,0.15,0.0,22.42,0.0,22.57
IN-DH,Dadra and Nagar Haveli and Daman and Diu,0.0,0.0,0.0,0.0,498.31,0.0,498.31
IN-DL,Delhi,0.0,0.0,0.0,0.0,550.22,0.0,550.22
IN-LD,Lakshadweep,31.0,0.0,1.39,0.0,0.0,0.0,32.39
IN-PY,Puducherry,408.0,0.0,5.0,0.0,195.9,0.0,608.9
