state_id,state_name,waterbody_count_total,waterbody_count_lt_0_5ha,waterbody_count_0_5_1ha,waterbody_count_1_2ha,waterbody_count_2_10ha,waterbody_count_10_50ha,waterbody_count_50_100ha,waterbody_count_gte_100ha
IN-AN,Andaman and Nicobar Islands,33,9,1,2,9,4,6,2
IN-AP,Andhra Pradesh,36733,3342,5265,7203,14535,5057,783,548
IN-AR,Arunachal Pradesh,1275,187,150,222,488,214,13,1
IN-AS,Assam,14636,8796,2209,1416,1574,539,63,39
IN-BR,Bihar,61370,36455,13572,6268,3964,929,110,72
IN-CH,Chandigarh,1,0,0,0,0,0,0,1
IN-CT,Chhattisgarh,104447,50490,25155,17755,9669,1183,102,93
IN-DH,Dadra and Nagar Haveli and Daman and Diu,33,3,2,3,21,3,0,1
IN-DL,Delhi,53,11,13,14,13,2,0,0
IN-GA,Goa,391,88,55,53,109,41,17,28
IN-GJ,Gujarat,16273,248,578,2776,9415,2482,313,461
IN-HR,Haryana,5726,1564,1672,1466,967,54,1,2
IN-HP,Himachal Pradesh,217,117,31,22,26,11,4,6
IN-JK,Jammu and Kashmir,589,131,117,97,153,75,6,10
IN-JH,Jharkhand,38912,23533,8834,4118,2166,187,25,49
IN-KA,Karnataka,53378,23845,7619,6172,10167,4440,695,440
IN-KL,Kerala,11460,8772,1448,565,389,165,31,90
IN-LA,Ladakh,258,50,35,42,86,30,4,11
IN-LD,Lakshadweep,2,1,1,0,0,0,0,0
IN-MP,Madhya Pradesh,65940,24428,17099,11963,9482,2266,366,336
IN-MH,Maharashtra,40106,11864,6382,6300,11177,3212,591,580
IN-MN,Manipur,1590,1109,218,107,117,28,3,8
IN-ML,Meghalaya,125,49,20,20,26,4,3,3
IN-MZ,Mizoram,509,226,144,94,41,2,0,2
IN-NL,Nagaland,462,276,102,54,26,3,0,1
IN-OR,Odisha,90888,55485,19699,9451,5529,538,75,111
IN-PY,Puducherry,107,18,11,7,31,29,5,6
IN-PB,Punjab,5755,2065,1835,1243,579,21,7,5
IN-RJ,Rajasthan,82075,42022,11439,11839,12749,3328,404,294
IN-SK,Sikkim,261,17,45,48,90,51,7,3
IN-TN,Tamil Nadu,73575,25785,11458,7302,14167,12054,1941,868
IN-TG,Telangana,17088,284,955,2350,9077,3814,366,242
IN-TR,Tripura,199,12,15,52,95,23,0,2
IN-UP,Uttar Pradesh,21574,1394,4577,5164,7104,2734,367,234
IN-UT,Uttarakhand,784,456,172,72,54,18,1,11
IN-WB,West Bengal,104357,61523,27474,8981,4683,1410,179,107
