State_Standard,District_Standard,GW_1994_2025_Mean,GW_1994_2025_Median,GW_1994_2025_Std,GW_1994_2025_Trend,GW_1994_2025_Years_Available,GW_2015_2025_Mean,GW_2015_2025_Median,GW_2015_2025_Std,GW_2015_2025_Trend,GW_2015_2025_Years_Available,GW_2021_2025_Mean,GW_2021_2025_Median,GW_2021_2025_Std,GW_2021_2025_Trend,GW_2021_2025_Years_Available,GW_Latest_2025,GW_Latest_Median_2025,GW_Latest_Std_2025,GW_Stations_2025,GW_Mean_2015_2019,GW_Mean_2021_2025,GW_Recent_vs_Early_Change,GW_2025_Available,GW_2015_2025_Coverage_Ratio,GW_2021_2025_Coverage_Ratio
Andaman And Nicobar Islands,North And Middle Andaman,1.9369311265484033,1.7560869565217392,0.7885864456887622,-0.018940260330667896,23,1.8326045870431835,1.6466666666666667,0.8102595711862544,-0.028106841658289135,9.0,1.8461184210526316,1.74125,0.9730331008149852,0.15744736842095414,4.0,1.1871052631578947,0.9650000000000001,0.8798799300602906,38.0,1.8217935198356252,1.8461184210526316,0.024324901217006367,1,0.8181818181818182,0.8
Andaman And Nicobar Islands,South Andamans,2.1507999359978442,1.8729166666666668,0.6767108776615871,-0.012825742144050847,24,2.106425878846739,1.8199999999999998,0.5506712308746667,-0.02197778086714456,9.0,2.124466324200913,1.8425,0.557966007884514,-0.010324581430806546,4.0,1.5799999999999998,1.27,1.2771631510052714,71.0,2.0919935225634,2.124466324200913,0.03247280163751309,1,0.8181818181818182,0.8
Andhra Pradesh,Alluri Sitharama Raju,6.1937885143209055,5.831666666666666,1.0730139671014323,-0.07940793415073563,30,5.240808416585855,4.718333333333334,0.8453546969362468,-0.11407830760598188,9.0,4.817882590382591,4.28,1.1878330072430205,-0.49771019071030576,4.0,3.1584848484848487,2.97,2.0804388377397105,33.0,5.579149077548467,4.817882590382591,-0.7612664871658765,1,0.8181818181818182,0.8
Andhra Pradesh,Anakapalli,4.735774065474143,4.385666666666666,0.9286908807023734,-0.0404677440542431,30,4.2040092592592595,3.6794444444444445,0.8134165582894061,0.0018559523809490335,9.0,4.003645833333334,3.5,0.9737945643655866,0.19970833333325294,4.0,3.4595833333333332,3.2,1.9160976628614703,24.0,4.3643,4.003645833333334,-0.3606541666666665,1,0.8181818181818182,0.8
Andhra Pradesh,Ananthapuramu,8.552746892548306,7.6049999999999995,2.532930325108038,-0.05461310718012198,31,7.906241147741147,6.6135,2.476069577381931,0.24227488560821825,10.0,8.749491758241758,5.63125,3.5547294696379526,2.0940329670328546,4.0,9.964038461538461,6.275,10.370359204890713,26.0,7.6928888888888896,8.749491758241758,1.0566028693528686,1,0.9090909090909091,0.8
Andhra Pradesh,Annamayya,10.350728127926654,8.783125,3.5635388612007635,-0.005546434940797283,32,10.067060411371557,8.27909090909091,3.9375610959166982,0.3498867035375158,11.0,10.585371266002845,8.540000000000001,3.89724242835722,1.2873477951640284,5.0,12.496081081081082,8.6,9.970370628289876,37.0,10.16216163901458,10.585371266002845,0.4232096269882657,1,1.0,1.0
Andhra Pradesh,Bapatla,3.57222805593466,3.0504838709677418,0.7063342675956208,-0.01796552325382674,31,3.4629994824016563,2.9215,0.7222655327311315,-0.08174142136592416,10.0,3.172978778467909,2.85875,0.6039970737590059,0.0903799171842181,4.0,2.8066666666666666,2.535,1.7635800216473376,24.0,3.9476159420289854,3.172978778467909,-0.7746371635610765,1,0.9090909090909091,0.8
Andhra Pradesh,Chittoor,9.298006528475684,8.546774193548387,2.893304137173562,-0.029031079694633442,31,8.549176724137931,7.071,3.164480247679456,0.4398691064247416,10.0,9.810537048440066,5.675,4.886189938555766,3.486505295566455,4.0,13.334666666666667,5.6,23.95595739503316,30.0,7.734923809523809,9.810537048440066,2.075613238916257,1,0.9090909090909091,0.8
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,3.4153750882815124,2.7599444444444443,0.46887258584230657,-0.0023167255029025325,30,3.5221266170230296,2.663333333333333,0.4335524067171727,0.024835460555189173,9.0,3.554863911290323,2.535,0.6463512198096055,0.21246169354833427,4.0,3.3225806451612905,2.34,4.269640865257823,31.0,3.4959367816091955,3.554863911290323,0.058927129681127344,1,0.8181818181818182,0.8
Andhra Pradesh,East Godavari,6.9750119945625535,4.632258064516129,1.996153358074334,-0.08780816820809721,31,5.580493083003953,3.714,1.43808560227764,-0.09317384226744051,10.0,5.100096343873518,3.28,1.6514436681746256,-0.6691926877469538,4.0,4.773409090909091,2.52,6.868056733957998,22.0,5.690909090909091,5.100096343873518,-0.5908127470355735,1,0.9090909090909091,0.8
Andhra Pradesh,Eluru,8.836736243377198,7.0041935483870965,2.766918558968058,-0.1662139438333311,31,6.287870596986216,3.9445,1.3825328457348325,0.02700607370613437,10.0,6.505448179271709,3.805,1.9150513374634734,0.4363697478991208,4.0,6.316666666666667,2.52,10.499999267399241,27.0,6.466382650555064,6.505448179271709,0.03906552871664459,1,0.9090909090909091,0.8
Andhra Pradesh,Guntur,4.615961408005477,4.015806451612903,1.4184661453449772,-0.0770883920365888,31,3.967803890160183,3.8394999999999997,0.5554792050822075,-0.07225205455847743,10.0,3.651574942791762,3.49375,0.669308059610148,-0.10048993135016986,4.0,2.9690000000000003,2.875,1.7310140015852586,20.0,4.264347826086956,3.651574942791762,-0.612772883295194,1,0.9090909090909091,0.8
Andhra Pradesh,Kakinada,5.301184104646395,2.8988333333333336,2.236315366337508,-0.08189756945268271,30,3.8983553234205406,2.73,0.7298815864220082,-0.05887261318982917,9.0,3.558918807641634,2.7375000000000003,0.9022496751359668,0.15003722002630862,4.0,3.2236363636363636,2.35,2.886646671196356,22.0,4.169904536043666,3.558918807641634,-0.6109857284020324,1,0.8181818181818182,0.8
Andhra Pradesh,Krishna,3.6532094570935203,2.881774193548387,0.9567939866585558,-0.05194304614852229,31,3.1927612757612756,2.9025000000000003,0.45422060061551467,-0.07916979323774134,10.0,2.9270486920486922,2.7225,0.4592387545096672,-0.11252732452737206,4.0,2.3536363636363635,2.1900000000000004,0.9045995981098119,22.0,3.5105502645502646,2.9270486920486922,-0.5835015725015724,1,0.9090909090909091,0.8
Andhra Pradesh,Kurnool,6.648579983220269,6.3245000000000005,1.345532941132248,-0.06412199471255943,30,6.054552795031055,5.823333333333333,1.418713538859014,-0.21583154881941585,9.0,5.0177735507246375,5.175,0.9961666505697276,0.3228499999999778,4.0,5.0344999999999995,5.25,1.9696098331235157,20.0,6.88397619047619,5.0177735507246375,-1.8662026397515525,1,0.8181818181818182,0.8
Andhra Pradesh,Nandyal,7.437609859524896,6.5103333333333335,2.241120024286551,-0.13185601442504638,30,6.009481380466417,5.057777777777777,1.6668015593484884,-0.35131398419016696,9.0,4.573471177944862,4.085,0.8511316193515044,-0.3002305764411697,4.0,3.5344444444444445,3.1399999999999997,2.887855345534472,18.0,7.158289542483661,4.573471177944862,-2.5848183645387985,1,0.8181818181818182,0.8
Andhra Pradesh,Ntr,6.390629853332052,5.718387096774194,0.8914303004008838,-0.0008953621789223828,31,6.663798051948052,5.6925,0.358702665544703,-0.022621001435049144,10.0,6.483560606060606,5.1125,0.2935627191523956,0.2077186147186213,4.0,6.812380952380953,5.05,8.105163110488219,21.0,6.785747619047619,6.483560606060606,-0.3021870129870132,1,0.9090909090909091,0.8
Andhra Pradesh,Palnadu,5.555169369811961,4.6527419354838715,1.3381968927014831,-0.0019744239446909248,31,5.796574750788564,4.8555,1.1014558308340938,-0.11781731254080416,10.0,5.01490447655529,4.0725,0.911950066871173,0.11088609246399138,4.0,4.408222222222222,3.64,2.5009337246215653,45.0,6.2040830631900405,5.01490447655529,-1.1891785866347506,1,0.9090909090909091,0.8
Andhra Pradesh,Parvathipuram Manyam,5.7443963433224265,5.408,0.9585833834801318,-0.01978383813398768,30,5.827964886468498,5.35,0.6853720716344185,0.038353560175491325,9.0,5.8828980204522,5.72,0.7454274458740443,-0.07752397035377404,4.0,5.065882352941177,4.53,2.58172679330988,17.0,5.784018379281537,5.8828980204522,0.0988796411706625,1,0.8181818181818182,0.8
Andhra Pradesh,Prakasam,7.802362277887743,6.305322580645162,3.0202478391157332,0.18198095391104177,31,10.378079373522459,7.272,2.9429350606716387,0.41294023276790276,10.0,12.3562726859429,6.69,2.8559740750152707,1.6629336606655298,4.0,13.614888888888888,6.71,17.734047969195792,45.0,9.955140598290598,12.3562726859429,2.401132087652302,1,0.9090909090909091,0.8
Andhra Pradesh,Sri Potti Sriramulu Nellore,5.340498011213522,4.8301612903225815,1.344389785536322,-0.012862065459028033,31,5.2748724534409215,4.7299999999999995,1.6064004692959049,-0.22335483408811332,10.0,4.322955049608777,3.67,0.9905589075241342,0.3641416068402839,4.0,4.0426086956521745,3.4299999999999997,2.73663656888249,46.0,6.435380867194821,4.322955049608777,-2.112425817586044,1,0.9090909090909091,0.8
Andhra Pradesh,Sri Sathya Sai,9.321905231493409,7.993387096774193,3.1244416005991784,-0.10456479415034677,31,7.996067534987729,6.5745000000000005,2.8529312236047297,-0.02707887205880754,10.0,7.501427994978479,5.6,3.084028256556379,1.280438845050061,4.0,7.329999999999999,5.35,9.137682145927378,41.0,8.990992673992675,7.501427994978479,-1.4895646790141965,1,0.9090909090909091,0.8
Andhra Pradesh,Srikakulam,5.781809945591035,5.4025,1.1041406720304305,-0.06327904526552458,30,5.066440993368006,4.9944444444444445,0.727452462725756,-0.0368509789968678,9.0,4.965436420722135,4.9125,0.7369912336251768,0.38289293563577453,4.0,5.169591836734694,5.3,1.9813610212676134,49.0,5.147244651484702,4.965436420722135,-0.18180823076256747,1,0.8181818181818182,0.8
Andhra Pradesh,Tirupati,6.162934428188682,5.518870967741936,1.5030233624657776,-0.055071908773376976,31,5.316262083015024,4.7555,1.4770998763970102,-0.23137901879174072,10.0,4.190021008403361,3.89125,1.2577305532019896,0.44622689075623406,4.0,3.971764705882353,3.8150000000000004,2.3357945511930716,34.0,6.3085073593073595,4.190021008403361,-2.118486350903998,1,0.9090909090909091,0.8
Andhra Pradesh,Visakhapatnam,5.491051515151515,5.019166666666666,1.2898164652726276,-0.02788115343033547,30,5.242685185185185,4.96,0.9121573698230647,-0.006971768707487617,9.0,5.107166666666667,4.83,1.125598885861145,-0.19406666666679281,4.0,3.848666666666667,3.82,1.5162258909479658,15.0,5.351100000000001,5.107166666666667,-0.24393333333333356,1,0.8181818181818182,0.8
Andhra Pradesh,Vizianagaram,5.294124855728593,5.087166666666667,0.9010826520449084,-0.034108264935575734,30,4.953800028315477,4.782777777777778,0.6822459804364874,0.01564489347904471,9.0,4.828319859367551,4.6325,0.831632528363051,0.34772807087233687,4.0,4.6867241379310345,4.68,1.7535750604439029,29.0,5.054184163473819,4.828319859367551,-0.2258643041062678,1,0.8181818181818182,0.8
Andhra Pradesh,West Godavari,3.24788129669167,2.347258064516129,0.7608829309864331,-0.00806754352919876,31,3.138511568777015,2.2135,1.1357931219137904,0.17785664938219636,10.0,3.884619565217391,2.06875,1.3673650763019944,0.6956304347825323,4.0,3.975,2.125,7.3649912187438416,24.0,2.889327485380117,3.884619565217391,0.9952920798372737,1,0.9090909090909091,0.8
Andhra Pradesh,Y.S.R.,10.526935715284642,7.867903225806452,3.6591677220842933,0.025953115982494234,31,11.181646429820535,7.2125,4.631365316523243,-0.25583175854629414,10.0,9.142036417688592,6.20375,4.3394870223731665,2.8849751021924455,4.0,11.793846153846154,6.515,20.074399433492022,26.0,13.634663725490196,9.142036417688592,-4.4926273078016035,1,0.9090909090909091,0.8
Arunachal Pradesh,Changlang,3.799647435897436,3.7890384615384614,0.830958388217315,0.015055555555556509,26,3.8415833333333333,3.8085,0.7995116613314269,0.0991972757882092,10.0,4.1955,4.232,0.9355185727712734,-0.09950000000012735,5.0,3.0025,3.11,0.6830019521690011,4.0,3.3095833333333333,4.1955,0.8859166666666667,1,0.9090909090909091,1.0
Arunachal Pradesh,East Siang,5.2280479242979245,4.384615384615385,2.2212895040808363,0.15748678412895842,26,6.471668831168831,5.357727272727273,1.6337948689317396,-0.19787662337659212,11.0,6.0604,4.4399999999999995,0.22601061921954024,0.09040000000002157,5.0,6.142,4.9,3.9634669167283336,5.0,7.11727142857143,6.0604,-1.05687142857143,1,1.0,1.0
Arunachal Pradesh,Kamle,1.6336363636363636,1.6336363636363636,0.22659535420095123,0.0011818181818123482,11,1.6336363636363636,1.6336363636363636,0.22659535420095123,0.0011818181818123482,11.0,1.67,1.67,0.17175564037317667,0.07000000000000679,5.0,1.75,1.75,0.0,1.0,1.584,1.67,0.08599999999999985,1,1.0,1.0
Arunachal Pradesh,Lohit,2.1266666666666665,2.1266666666666665,0.521664004253057,-0.19571428571426794,3,2.1266666666666665,2.1266666666666665,0.521664004253057,-0.19571428571426794,3.0,1.8399999999999999,1.8399999999999999,0.22627416997969516,-0.3199999999998917,2.0,1.68,1.68,0.0,1.0,,1.8399999999999999,,1,0.2727272727272727,0.4
