state_id,state_name,small_hydro_mw,wind_power_mw,bio_power_mw,solar_power_mw,large_hydro_mw,total_re_mw,total_re_potential_mw,renewable_headroom_mw,renewable_utilization_pct,re_capacity_2017_18_mw,re_capacity_2024_25_mw,re_capacity_growth_mw,re_capacity_growth_pct,re_capacity_cagr_pct
IN-AP,Andhra Pradesh,163.31,4377.15,594.02,5370.0,1610.0,12114.48,427932.53,415818.05000000005,2.8309322499974465,8060.58,12114.48,4053.8999999999996,50.292906962030024,5.992937004892074
IN-AR,Arunachal Pradesh,140.61,0.0,0.0,14.85,1115.0,1270.46,53190.9,51920.44,2.3884912644832106,517.0,1270.46,753.46,145.73694390715667,13.705505498812109
IN-AS,Assam,34.11,0.0,2.0,196.54,350.0,582.65,20799.01,20216.359999999997,2.8013352558607356,378.39,582.65,204.26,53.981342001638524,6.36069271802191
IN-BR,Bihar,70.7,0.0,140.22,328.34,0.0,539.26,38982.53999999999,38443.27999999999,1.3833372581673746,346.18,539.26,193.07999999999998,55.77445259691489,6.536754382431886
IN-CT,Chhattisgarh,76.0,0.0,285.42,1347.04,120.0,1828.46,131996.16999999998,130167.70999999998,1.3852371625631261,785.42,1828.46,1043.04,132.80028519772858,12.830422771719396
IN-GA,Goa,0.05,0.0,1.94,56.44,0.0,58.43,6804.02,6745.59,0.8587570289328954,1.08,58.43,57.35,5310.185185185184,76.84864350977807
IN-GJ,Gujarat,106.64,12677.48,122.25,18496.66,1990.0,33393.03,427954.41,394561.38,7.8029409721470095,9339.45,33393.03,24053.579999999998,257.5481425565745,19.96313024836511
IN-HR,Haryana,73.5,0.0,311.47,2064.97,0.0,2449.94,8883.95,6434.01,27.577147552608917,510.49,2449.94,1939.45,379.919293228075,25.11510484737105
IN-HP,Himachal Pradesh,1000.71,0.0,10.2,204.26,10981.02,12196.19,43575.66,31379.47,27.98853763775465,10514.3,12196.18,1681.880000000001,15.996119570489725,2.14243542543342
IN-JK,Jammu and Kashmir,189.93,0.0,0.0,74.49,3360.0,3624.42,23350.71,19726.29,15.521669362516171,3650.22,3624.42,-25.799999999999727,-0.7068067130200297,-0.1012795953525214
IN-JH,Jharkhand,4.05,0.0,20.14,199.87,210.0,434.06,52521.56,52087.5,0.8264415603801564,320.14,434.06,113.92000000000002,35.58443181108266,4.444871021733809
IN-KA,Karnataka,1284.73,7351.1,1912.95,9679.66,3689.2,23917.64,404226.86,380309.22,5.916885384608039,16241.6,23917.64,7676.039999999999,47.26159984238005,5.684862756319853
IN-KL,Kerala,276.52,71.27,2.5,1538.94,1964.15,3853.38,18924.02,15070.64,20.36237543608599,2282.06,3853.38,1571.3200000000002,68.85533246277487,7.771049331807389
IN-LA,Ladakh,45.79,0.0,0.0,7.8,89.0,142.59,8557.64,8415.05,1.666230409318457,0.0,142.59,142.59,,
IN-MP,Madhya Pradesh,123.71,3195.15,155.46,5118.38,2235.0,10827.7,380551.02,369723.32,2.845268947117787,6445.13,10827.7,4382.570000000001,67.99816295404439,7.692723900526954
IN-MH,Maharashtra,384.28,5284.61,2998.3,10687.27,3047.0,22401.46,671023.69,648622.23,3.3384007649566,11519.21,22401.46,10882.25,94.47045413704586,9.967614484961086
IN-MN,Manipur,5.45,0.0,0.0,13.79,105.0,124.24,3071.1800000000003,2946.9400000000005,4.045350646982592,115.28,124.24,8.959999999999994,7.7723802914642555,1.0750407242514193
IN-ML,Meghalaya,55.03,0.0,13.8,4.28,322.0,395.11,17053.690000000002,16658.58,2.31685928382655,418.85,395.11,-23.74000000000001,-5.667900202936614,-0.8300877785054839
IN-MZ,Mizoram,45.47,0.0,0.0,30.39,60.0,135.86,2710.71,2574.85,5.0119710334192895,100.16,135.86,35.70000000000002,35.64297124600641,4.451311934707403
IN-NL,Nagaland,32.67,0.0,0.0,3.17,75.0,110.84,752.04,641.1999999999999,14.738577735226851,108.51,110.84,2.3299999999999983,2.147267532946271,0.30396654945283874
IN-OR,Odisha,115.63,0.0,64.22,624.44,2154.55,2958.84,155012.77,152053.93,1.9087717740931927,2364.94,2958.84,593.9000000000001,25.11268784831751,3.2524091016472134
IN-PB,Punjab,176.1,0.0,576.59,1421.43,1096.3,3270.42,14953.71,11683.289999999999,21.870291720248687,2626.98,3270.42,643.44,24.493524884087435,3.1792566763007235
IN-RJ,Rajasthan,23.85,5208.75,206.27,28286.47,411.0,34136.34,1114793.66,1080657.3199999998,3.0621218279981965,7289.36,34136.34,26846.979999999996,368.3036645192444,24.67794943957562
IN-SK,Sikkim,55.11,0.0,0.0,7.56,2282.0,2344.67,6576.83,4232.16,35.65045774332011,2222.98,2344.67,121.69000000000005,5.474183303493511,0.7642776476534108
IN-TN,Tamil Nadu,123.05,11739.91,1046.62,10153.58,2178.2,25241.36,304461.10000000003,279219.74000000005,8.290504107092826,13451.7,25241.36,11789.66,87.64438695480868,9.407712953683923
IN-TG,Telangana,90.87,128.1,221.67,4842.1,2405.6,7688.34,198368.27,190679.93,3.875791224070261,6507.48,7688.34,1180.8600000000006,18.14619484039906,2.410780722044148
IN-TR,Tripura,16.01,0.0,0.0,21.24,0.0,37.25,9187.06,9149.81,0.40546159489542904,24.53,37.25,12.719999999999999,51.85487158581328,6.1496068124383685
IN-UP,Uttar Pradesh,49.1,0.0,2309.14,3364.07,501.6,6223.91,107041.35,100817.44,5.814491315739198,3447.25,6223.91,2776.66,80.547102763072,8.806737661689779
IN-UT,Uttarakhand,233.82,0.0,148.53,593.07,4035.35,5010.77,5503.099999999999,492.329999999999,91.05358797768532,4379.83,5010.77,630.9400000000005,14.405581951810928,1.9411672573376837
IN-WB,West Bengal,98.5,0.0,351.86,320.62,1341.2,2112.18,26966.39,24854.21,7.83263907404736,1747.46,2112.18,364.7199999999998,20.871436256051627,2.7449596892942463
