State,< 0.5 ha,>= 0.5 - < 1 ha,>= 1 - < 2 ha,>= 2 - < 10 ha,>= 10 - < 50 ha,>= 50 - < 100 ha,>= 100 ha
Andaman & Nicobar,9,1,2,9,4,6,2
Andhra Pradesh,3342,5265,7203,14535,5057,783,548
Arunachal Pradesh,187,150,222,488,214,13,1
Assam,8796,2209,1416,1574,539,63,39
Bihar,36455,13572,6268,3964,929,110,72
Chhattisgarh,50490,25155,17755,9669,1183,102,93
Chandigarh,0,0,0,0,0,0,1
Daman & Diu,3,1,3,19,3,0,0
Delhi,11,13,14,13,2,0,0
Dadara & Nagar Havelli,0,1,0,2,0,0,1
Goa,88,55,53,109,41,17,28
Gujarat,248,578,2776,9415,2482,313,461
Himachal Pradesh,117,31,22,26,11,4,6
Haryana,1564,1672,1466,967,54,1,2
Jharkhand,23533,8834,4118,2166,187,25,49
Jammu & Kashmir,131,117,97,153,75,6,10
Karnataka,23845,7619,6172,10167,4440,695,440
Kerala,8772,1448,565,389,165,31,90
Lakshadweep,1,1,0,0,0,0,0
Ladakh,50,35,42,86,30,4,11
Maharashtra,11864,6382,6300,11177,3212,591,580
Meghalaya,49,20,20,26,4,3,3
Manipur,1109,218,107,117,28,3,8
Madhya Pradesh,24428,17099,11963,9482,2266,366,336
Mizoram,226,144,94,41,2,0,2
Nagaland,276,102,54,26,3,0,1
Odisha,55485,19699,9451,5529,538,75,111
Punjab,2065,1835,1243,579,21,7,5
Pondicherry,18,11,7,31,29,5,6
Rajasthan,42022,11439,11839,12749,3328,404,294
Sikkim,17,45,48,90,51,7,3
Tamil Nadu,25785,11458,7302,14167,12054,1941,868
Tripura,12,15,52,95,23,0,2
Telangana,284,955,2350,9077,3814,366,242
Uttarakhand,456,172,72,54,18,1,11
Uttar Pradesh,1394,4577,5164,7104,2734,367,234
West Bengal,61523,27474,8981,4683,1410,179,107
