Region,State_UT,Sector,Coal_MW,Lignite_MW,Gas_MW,Diesel_MW,Thermal_Total_MW,Nuclear_MW,Hydro_MW,RES_MNRE_MW,Total_RES_incl_Hydro_MW,Grand_Total_MW
Northern Region,Northern Region,State,0.0,0.0,1800.4,0.0,1800.4,0.0,0.0,0.0,0.0,1800.4
Northern Region,Northern Region,Private,878.22,0.0,0.0,0.0,878.22,0.0,0.0,546.1,546.1,1424.32
Northern Region,Northern Region,Central,2786.14,0.0,207.01,0.0,2993.16,153.38,1178.01,0.37,1178.38,4324.92
Northern Region,Northern Region,Sub-Total,3664.36,0.0,2007.41,0.0,5671.78,153.38,1178.01,546.47,1724.48,7549.64
Northern Region,Northern Region,State,2510.0,0.0,150.0,0.0,2660.0,0.0,200.0,142.6,342.6,3002.6
Northern Region,Northern Region,Private,4561.78,0.0,0.0,0.0,4561.78,0.0,539.0,3113.24,3652.24,8214.02
Northern Region,Northern Region,Central,1610.81,0.0,431.59,0.0,2042.4,123.04,1702.12,5.0,1707.12,3872.56
Northern Region,Northern Region,Sub-Total,8682.59,0.0,581.59,0.0,9264.18,123.04,2441.12,3260.84,5701.96,15089.18
Northern Region,Northern Region,State,0.0,0.0,0.0,0.0,0.0,0.0,905.59,262.91,1168.5,1168.5
Northern Region,Northern Region,Private,0.0,0.0,0.0,0.0,0.0,0.0,1609.4,1145.04,2754.44,2754.44
Northern Region,Northern Region,Central,144.67,0.0,0.0,0.0,144.67,42.22,1432.02,1.0,1433.02,1619.92
Northern Region,Northern Region,Sub-Total,144.67,0.0,0.0,0.0,144.67,42.22,3947.01,1408.95,5355.96,5542.86
Northern Region,Northern Region,State,0.0,0.0,0.0,0.0,0.0,0.0,1230.0,142.97,1372.97,1372.97
Northern Region,Northern Region,Private,0.0,0.0,0.0,0.0,0.0,0.0,0.0,284.43,284.43,284.43
Northern Region,Ladakh,Central,577.1,0.0,129.07,0.0,706.18,95.13,1115.88,0.0,1115.88,1917.19
Northern Region,Ladakh,Sub-Total,577.1,0.0,129.07,0.0,706.18,95.13,2345.88,427.4,2773.28,3574.58
Northern Region,Ladakh,State,2300.0,0.0,150.0,0.0,2450.0,0.0,1243.4,135.3,1378.7,3828.7
Northern Region,Ladakh,Private,4474.0,0.0,0.0,0.0,4474.0,0.0,288.0,2226.58,2514.58,6988.58
Northern Region,Ladakh,Central,1476.0,0.0,0.0,0.0,1476.0,229.09,2296.04,0.0,2296.04,4001.12
Northern Region,Ladakh,Sub-Total,8250.0,0.0,150.0,0.0,8400.0,229.09,3827.44,2361.88,6189.32,14818.41
Northern Region,Ladakh,State,7580.0,250.0,603.5,0.0,8433.5,0.0,434.5,184.2,618.7,9052.2
Northern Region,Ladakh,Private,3301.0,1080.0,0.0,0.0,4381.0,0.0,104.0,44287.82,44391.82,48772.82
Northern Region,Ladakh,Central,1491.64,250.0,171.13,0.0,1912.77,806.74,1665.17,5450.82,7115.99,9835.5
Northern Region,Ladakh,Sub-Total,12372.64,1580.0,774.63,0.0,14727.27,806.74,2203.67,49922.84,52126.51,67660.52
Northern Region,Ladakh,State,9115.0,0.0,0.0,0.0,9115.0,0.0,724.1,21.13,745.23,9860.23
Northern Region,Ladakh,Private,8814.33,0.0,0.0,0.0,8814.33,0.0,842.4,7816.73,8659.13,17473.46
Northern Region,Ladakh,Central,8238.19,0.0,1029.51,0.0,9267.7,370.45,2108.52,567.06,2675.58,12313.73
Northern Region,Ladakh,Sub-Total,26167.52,0.0,1029.51,0.0,27197.03,370.45,3675.02,8404.92,12079.94,39647.42
Northern Region,Ladakh,State,0.0,0.0,0.0,0.0,0.0,0.0,1372.15,3.1,1375.25,1375.25
Northern Region,Ladakh,Private,99.0,0.0,664.0,0.0,763.0,0.0,248.2,1281.85,1530.05,2293.05
Northern Region,Ladakh,Central,554.63,0.0,69.66,0.0,624.29,47.51,743.5,2.24,745.74,1417.53
Northern Region,Ladakh,Sub-Total,653.63,0.0,733.66,0.0,1387.29,47.51,2363.85,1287.18,3651.03,5085.83
Northern Region,Ladakh,State,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Northern Region,Ladakh,Private,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.85,78.85,78.85
Northern Region,Ladakh,Central,44.86,0.0,15.03,0.0,59.88,10.41,106.21,0.0,106.21,176.5
Northern Region,Ladakh,Sub-Total,44.86,0.0,15.03,0.0,59.88,10.41,106.21,78.85,185.06,255.35
Northern Region,Ladakh,Central,1703.67,0.0,291.05,0.0,1994.72,342.03,871.45,0.0,871.45,3208.21
Northern Region,Ladakh,State,21505.0,250.0,2703.9,0.0,24458.9,0.0,6109.74,892.21,7001.95,31460.85
Northern Region,Total (Northern,Private,22128.33,1080.0,664.0,0.0,23872.33,0.0,3631.0,60780.64,64411.64,88283.97
Northern Region,Region),Central,18627.71,250.0,2344.06,0.0,21221.77,2220.0,13218.93,6026.49,19245.42,42687.19
Northern Region,Region),Grand Total,62261.04,1580.0,5711.96,0.0,69553.0,2220.0,22959.67,67699.34,90659.01,162432.01
Western Region,Western Region,State,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Western Region,Western Region,Private,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.7,96.7,96.7
Western Region,Western Region,Central,492.27,0.0,19.67,0.0,511.94,41.68,6.0,1.0,7.0,560.62
Western Region,Western Region,Sub-Total,492.27,0.0,19.67,0.0,511.94,41.68,6.0,97.7,103.7,657.32
Western Region,Western Region,State,4510.0,900.0,2021.72,0.0,7431.72,0.0,772.0,14692.57,15464.57,22896.29
Western Region,Western Region,Private,7144.67,500.0,3170.0,0.0,10814.67,0.0,0.0,31929.58,31929.58,42744.25
Western Region,Western Region,Central,4926.49,0.0,424.0,0.0,5350.49,1034.89,265.08,3998.03,4263.11,10648.49
Western Region,Western Region,Sub-Total,16581.16,1400.0,5615.72,0.0,23596.88,1034.89,1037.08,50620.17,51657.25,76289.02
