State_UT,Biomass_Bagasse_Cogen_MW,Biomass_Non_Bagasse_Cogen_MW,Waste_to_Energy_Grid_MW,Waste_to_Energy_Offgrid_MW,Solar_Ground_Mounted_MW,Solar_Rooftop_MW,Solar_Hybrid_Component_MW,Solar_Offgrid_KUSUM_MW
Andhra Pradesh,378.1,113.57,53.16,49.19,4990.86,290.8,0.0,88.34
Arunachal Pradesh,0.0,0.0,0.0,0.0,1.27,6.68,0.0,6.9
Assam,0.0,2.0,0.0,0.0,126.0,61.1,0.0,9.44
Bihar,112.5,26.4,0.0,1.32,196.06,111.0,0.0,21.28
Chhattisgarh,272.09,2.5,0.0,10.83,848.91,107.4,0.0,390.73
Goa,0.0,0.0,1.94,0.0,1.95,53.0,0.0,1.49
Gujarat,65.3,12.0,7.5,37.45,12482.93,5105.2,813.5,95.03
Haryana,151.4,111.26,11.2,37.61,266.8,828.5,0.0,969.67
Himachal Pradesh,0.0,9.2,0.0,1.0,145.05,24.63,0.0,34.58
Jammu & Kashmir,0.0,0.0,0.0,0.0,2.49,42.2,0.0,29.8
Jharkhand,0.0,19.1,0.0,1.04,21.0,93.04,0.0,85.83
Karnataka,1868.91,20.2,1.0,22.84,8862.8,696.7,81.0,39.16
Kerala,0.0,2.27,0.0,0.23,323.21,1190.8,0.0,24.93
Ladakh,0.0,0.0,0.0,0.0,6.0,1.8,0.0,0.0
Madhya Pradesh,92.5,14.85,15.4,32.71,4503.24,513.1,0.0,102.04
Maharashtra,2907.3,16.4,12.59,62.01,5994.7,3298.2,0.0,394.37
Manipur,0.0,0.0,0.0,0.0,0.6,7.11,0.0,6.08
Meghalaya,0.0,13.8,0.0,0.0,0.0,0.21,0.0,4.07
Mizoram,0.0,0.0,0.0,0.0,22.0,2.0,0.0,6.39
Nagaland,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.17
Odisha,50.4,8.82,0.0,5.0,512.0,70.1,0.0,42.34
Punjab,299.5,231.79,10.75,34.55,886.27,453.8,0.0,81.36
Rajasthan,134.15,2.0,59.6,10.52,23985.22,0.0,980.0,805.45
Sikkim,0.0,0.0,0.0,0.0,0.52,5.12,0.0,1.92
Tamil Nadu,969.1,43.55,6.4,27.57,9150.98,932.2,0.0,70.4
Telangana,158.1,3.3,45.8,14.47,4360.49,472.9,0.0,8.71
Tripura,0.0,0.0,0.0,0.0,5.1,4.8,0.0,11.34
Uttar Pradesh,1985.5,165.26,0.0,158.38,2717.45,321.9,0.0,324.72
Uttarakhand,72.72,60.0,0.0,15.81,298.4,273.71,0.0,20.96
West Bengal,300.0,43.52,0.0,8.34,240.35,67.13,0.0,13.14
Andaman &,0.0,0.0,0.0,0.0,25.05,4.59,0.0,0.27
Nicobar Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chandigarh,0.0,0.0,0.0,0.0,6.34,71.7,0.0,0.81
Dadra & Nagar,3.75,0.0,0.0,0.0,14.3,33.82,0.0,0.0
Haveli /,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Daman & Diu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Delhi,0.0,0.0,84.0,0.0,9.84,302.1,0.0,1.46
Lakshadweep,0.0,0.0,0.0,0.0,2.45,0.0,0.0,2.52
Pondicherry,0.0,0.0,0.0,0.0,1.03,53.3,0.0,0.18
Others,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.01
Total (MW),9821.32,921.79,309.34,530.87,81011.66,0.0,0.0,742.89
