Region,State_UT,RE_MW_2017_18,RE_MW_2018_19,RE_MW_2019_20,RE_MW_2020_21,RE_MW_2021_22,RE_MW_2022_23,RE_MW_2023_24,RE_MW_2024_25
Northern Region,Haryana,510.49,519.11,547.19,762.51,1242.13,1362.09,1832.92,2449.94
Northern Region,Himachal Pradesh,10514.3,10707.75,10768.91,10916.61,11303.49,11330.42,11356.16,12196.18
Northern Region,Jammu & Kashmir,3650.22,3664.1,3581.11,3588.11,3551.61,3556.12,3595.37,3624.42
Northern Region,Ladakh,0.0,0.0,89.0,89.0,136.44,137.79,139.79,142.59
Northern Region,Punjab,2626.98,2522.38,2566.86,2743.8,2864.12,2961.93,3163.92,3270.42
Northern Region,Rajasthan,7289.36,8223.73,10134.97,10812.35,17451.62,22809.05,27103.89,34136.34
Northern Region,Uttar Pradesh,3447.25,3739.46,3900.97,4563.07,4985.12,5282.65,5697.17,6223.91
Northern Region,Uttarakhand,4379.83,4426.88,4437.96,4589.24,4787.15,4909.14,4971.94,5010.77
Northern Region,Chandigarh,26.01,35.52,41.36,45.97,55.17,58.69,65.52,78.85
Northern Region,Delhi,123.03,180.35,218.62,246.43,270.12,302.26,340.51,397.4
Northern Region,Total,32567.47,34019.28,36286.95,38357.09,46646.97,52710.14,58267.19,67530.82
Eastern Region,Arunachal Pradesh,517.0,655.69,955.98,1256.27,1257.34,1259.75,1259.9,1270.46
Eastern Region,Assam,378.39,414.58,433.86,437.67,504.05,534.04,542.29,582.65
Eastern Region,Manipur,115.28,118.66,120.43,121.84,122.7,122.73,123.49,124.24
Eastern Region,Meghalaya,418.85,372.18,372.18,372.18,372.48,372.48,395.07,395.11
Eastern Region,Mizoram,100.16,101.2,102.52,103.45,104.37,133.49,135.78,135.86
Eastern Region,Nagaland,108.51,108.51,108.51,108.58,108.71,110.71,110.84,110.84
Eastern Region,Tripura,24.53,24.53,28.91,29.57,30.9,33.61,34.47,37.25
Eastern Region,Total,1662.72,1795.35,2122.39,2429.56,2500.55,2566.81,2601.84,2656.41
Western Region,Chhattisgarh,785.42,850.77,864.89,886.52,989.08,1419.82,1683.39,1828.46
Western Region,Goa,1.08,4.09,5.29,7.95,20.34,26.88,45.47,58.43
Western Region,Gujarat,9339.45,10697.72,12683.77,15204.25,18577.9,21425.85,27461.72,33393.03
Western Region,Madhya Pradesh,6445.13,6864.87,7285.75,7526.97,7703.88,8140.08,9333.37,10827.7
Western Region,Maharashtra,11519.21,12421.69,12822.27,13382.85,13704.08,15804.5,17530.12,22401.46
Western Region,Dadar & Nagar,16.07,19.93,25.32,46.01,46.18,46.47,46.47,51.87
Western Region,Total,28106.36,30859.07,33687.29,37054.55,41041.46,46863.6,56100.54,68560.95
Eastern Region,Bihar,346.18,352.23,365.09,376.63,387.35,389.6,450.15,539.26
Eastern Region,Jharkhand,320.14,267.87,273.8,288.21,307.14,324.19,395.55,434.06
Eastern Region,Odisha,2364.94,2681.68,2686.38,2715.63,2771.64,2782.57,2825.03,2958.84
Eastern Region,Sikkim,2222.98,2222.99,2223.05,2223.05,2338.79,2341.8,2344.15,2344.67
Eastern Region,West Bengal,1747.46,1849.29,1888.03,1923.44,1928.15,1962.77,1982.13,2112.18
Eastern Region,Total,7013.75,7391.28,7454.03,7561.67,7767.81,7836.09,8032.17,8424.17
Southern Region,Andhra Pradesh,8060.58,9560.02,10091.4,10696.1,10821.6,10970.2,11029.3,12114.48
Southern Region,Karnataka,16241.6,17524.4,18918.1,19149.3,19593.8,20408.4,21441.9,23917.64
Southern Region,Kerala,2282.06,2290.71,2304.35,2428.92,2527.2,2957.1,3229.46,3853.38
Southern Region,Tamil Nadu,13451.7,14909.4,16588.8,17476.7,18277.5,20098.6,22161.6,25241.36
Southern Region,Telangana,6507.48,6405.96,6442.85,6796.59,7364.79,7510.97,7604.4,7688.34
Southern Region,Lakshadweep,3.14,3.14,3.27,3.27,3.27,3.27,4.97,4.97
Southern Region,Pondicherry,0.34,3.32,5.69,9.51,13.69,35.53,49.91,54.51
Southern Region,Total,46546.9,50696.95,54354.46,56560.39,58601.85,61984.07,65521.54,72874.68
Southern Region,Others,47.66,49.31,49.31,49.31,49.31,49.31,49.31,49.31
Southern Region,Grand Total,115944.9,124811.2,133954.5,142012.6,156607.9,172010.0,190572.7,220096.35
