State_UT,Wind_Potential_MW,Small_Hydro_Potential_MW,Biomass_Potential_MW,Bagasse_Cogen_Potential_MW,Solar_Ground_Potential_MW,Large_Hydro_Potential_MW,Total_Estimated_RE_Potential_MW
Andhra Pradesh,123336.0,409.32,1999.49,279.6,299312.12,2596.0,427932.53
Arunachal Pradesh,246.0,2064.92,18.46,0.0,467.52,50394.0,53190.9
Assam,459.0,201.99,321.89,0.0,19173.13,643.0,20799.01
Bihar,4023.0,526.98,964.37,346.6,32991.49,130.1,38982.54
Chhattisgarh,2749.0,1098.2,353.68,0.0,126484.29,1311.0,131996.17
Goa,14.0,4.7,32.97,0.0,6752.35,0.0,6804.02
Gujarat,180790.0,201.97,2637.84,554.7,243219.9,550.0,427954.41
Haryana,593.0,107.4,1353.35,362.1,6468.1,0.0,8883.95
Himachal Pradesh,239.0,3460.34,69.71,0.0,21501.61,18305.0,43575.66
Jammu & Kashmir,0.0,1707.45,82.82,0.0,8588.94,12971.5,23350.71
Ladakh,1.0,0.0,0.0,0.0,8556.64,0.0,8557.64
Jharkhand,16.0,227.96,146.31,0.0,51831.29,300.0,52521.56
Karnataka,169251.0,3726.49,1793.88,1762.1,223278.99,4414.4,404226.86
Kerala,2621.0,647.15,778.41,0.0,12404.71,2472.75,18924.02
Madhya Pradesh,55423.0,820.44,2516.42,0.0,318972.16,2819.0,380551.02
Maharashtra,173868.0,786.46,2629.55,3917.0,486678.68,3144.0,671023.69
Manipur,0.0,99.95,62.31,0.0,2293.92,615.0,3071.18
Meghalaya,55.0,230.05,68.54,0.0,14674.1,2026.0,17053.69
Mizoram,0.0,168.9,2.9,0.0,612.21,1926.7,2710.71
Nagaland,0.0,182.18,53.9,0.0,190.96,325.0,752.04
Orissa,12129.0,286.22,298.72,0.0,139474.33,2824.5,155012.77
Punjab,428.0,578.28,3022.11,414.4,9210.19,1300.73,14953.71
Rajasthan,284250.0,51.67,1299.55,0.0,828781.44,411.0,1114793.66
Sikkim,0.0,266.64,4.73,0.0,254.46,6051.0,6576.83
Tamil Nadu,95107.0,604.46,1560.08,639.3,204765.06,1785.2,304461.1
Telangana,54717.0,102.25,1678.36,117.4,140451.26,1302.0,198368.27
Tripura,0.0,46.86,34.35,0.0,9105.85,0.0,9187.06
Uttar Pradesh,510.0,460.75,2800.31,4925.7,97842.99,501.6,107041.35
Uttarakhand,49.0,1664.31,93.34,215.1,0.0,3481.35,5503.1
West Bengal,1281.0,392.06,1741.74,0.0,22742.39,809.2,26966.39
Andaman & Nicobar,1245.0,7.27,18.13,0.0,594.22,0.0,1864.62
Chandigarh,0.0,0.0,0.15,0.0,22.42,0.0,22.57
Dadra and Nagar Haveli and Daman and Diu,0.0,0.0,0.0,0.0,498.31,0.0,498.31
Delhi,0.0,0.0,0.0,0.0,550.22,0.0,550.22
Lakshadweep,31.0,0.0,1.39,0.0,0.0,0.0,32.39
Pondicherry,408.0,0.0,5.0,0.0,195.9,0.0,608.9
Others,0.0,0.0,0.0,284.4,0.0,0.0,284.4
Total,1163856.0,21133.62,28446.91,13818.4,3343378.39,133410.03,4704043.35
