State_UT,Small_Hydro_MW,Wind_Power_MW,Bio_Power_MW,Solar_Power_MW,Large_Hydro_MW,Total_RES_MW
Andhra Pradesh,163.31,4377.15,594.02,5370.0,1610.0,12114.48
Arunachal Pradesh,140.61,0.0,0.0,14.85,1115.0,1270.46
Assam,34.11,0.0,2.0,196.54,350.0,582.65
Bihar,70.7,0.0,140.22,328.34,0.0,539.26
Chhattisgarh,76.0,0.0,285.42,1347.04,120.0,1828.46
Goa,0.05,0.0,1.94,56.44,0.0,58.43
Gujarat,106.64,12677.48,122.25,18496.66,1990.0,33393.03
Haryana,73.5,0.0,311.47,2064.97,0.0,2449.94
Himachal Pradesh,1000.71,0.0,10.2,204.26,10981.02,12196.19
Jammu & Kashmir,189.93,0.0,0.0,74.49,3360.0,3624.42
Jharkhand,4.05,0.0,20.14,199.87,210.0,434.06
Karnataka,1284.73,7351.1,1912.95,9679.66,3689.2,23917.64
Kerala,276.52,71.27,2.5,1538.94,1964.15,3853.38
Ladakh,45.79,0.0,0.0,7.8,89.0,142.59
Madhya Pradesh,123.71,3195.15,155.46,5118.38,2235.0,10827.7
Maharashtra,384.28,5284.61,2998.3,10687.27,3047.0,22401.46
Manipur,5.45,0.0,0.0,13.79,105.0,124.24
Meghalaya,55.03,0.0,13.8,4.28,322.0,395.11
Mizoram,45.47,0.0,0.0,30.39,60.0,135.86
Nagaland,32.67,0.0,0.0,3.17,75.0,110.84
Odisha,115.63,0.0,64.22,624.44,2154.55,2958.84
Punjab,176.1,0.0,576.59,1421.43,1096.3,3270.42
Rajasthan,23.85,5208.75,206.27,28286.47,411.0,34136.34
Sikkim,55.11,0.0,0.0,7.56,2282.0,2344.67
Tamil Nadu,123.05,11739.91,1046.62,10153.58,2178.2,25241.36
Telangana,90.87,128.1,221.67,4842.1,2405.6,7688.34
Tripura,16.01,0.0,0.0,21.24,0.0,37.25
Uttar Pradesh,49.1,0.0,2309.14,3364.07,501.6,6223.91
Uttarakhand,233.82,0.0,148.53,593.07,4035.35,5010.77
West Bengal,98.5,0.0,351.86,320.62,1341.2,2112.18
Andaman & Nicobar,5.25,0.0,0.0,29.91,0.0,35.16
Islands,0.0,0.0,0.0,0.0,0.0,0.0
Chandigarh,0.0,0.0,0.0,78.85,0.0,78.85
"""Dadar & Nagar",0.0,0.0,3.75,48.12,0.0,51.87
Haveli/,0.0,0.0,0.0,0.0,0.0,0.0
"Daman & Diu""",0.0,0.0,0.0,0.0,0.0,0.0
Delhi,0.0,0.0,84.0,313.4,0.0,397.4
Lakshadweep,0.0,0.0,0.0,4.97,0.0,4.97
Pondicherry,0.0,0.0,0.0,54.51,0.0,54.51
Others,0.0,4.3,0.0,45.01,0.0,49.31
Total,5100.55,50037.82,0.0,5646.49,0.0,20096.35
