State,Total Number of Monitored Stations,Observed Range of Water Level-min,Observed Range of Water Level-max
Andhra Pradesh,280,-98.46,203.54
Arunachal Pradesh,4,-4.19,-0.52
Assam,68,-89.66,30.73
Bihar,22,-20.98,1806.51
Chandigarh,19,-95.15,73.46
Chhattisgarh,243,-940.98,35.03
Delhi,89,-1000,44.25
Goa,39,-29.26,3.23
Gujarat,407,-231.45,25423.53
Haryana,207,-1000,100.12
Himachal Pradesh,9,-0.11,77.94
Jammu & Kashmir,33,-502.75,141.91
Jharkhand,285,-645.72,17.05
Karnataka,389,-150.02,295445.63
Kerala,224,-70.98,12.2
Madhya Pradesh,387,-176.55,992101.44
Maharashtra,177,-107.23,4272.91
Meghalaya,15,-45.5,1
Nagaland,1,-9.97,1
Odisha,689,-39.76,33591.91
Puducherry,28,-45.96,45.95
Punjab,288,-857.16,971.4
Rajasthan,491,-2015.26,65.67
Tamil Nadu,1481,-906.6,965.8
Telangana,517,-68.15,157.77
Tripura,6,-24.15,1
Uttar Pradesh,172,-52.63,11.51
Uttarakhand,11,-26.85,120.41
West Bengal,171,-44.9,27.41
