"State","Lowest (Rs/Acre)","Average (Rs/Acre)","Highest (Rs/Acre)","5-Year CAGR"
"Rajasthan","₹50,000","₹8,00,000","₹30,00,000","14%"
"Madhya Pradesh","₹2,00,000","₹5,00,000","₹25,00,000","18%"
"Uttar Pradesh","₹3,00,000","₹12,00,000","₹80,00,000","15%"
"Gujarat","₹4,00,000","₹15,00,000","₹80,00,000","10%"
"Bihar","₹4,00,000","₹10,00,000","₹40,00,000","12%"
"Maharashtra","₹5,00,000","₹18,00,000","₹1,50,00,000","12%"
"Karnataka","₹6,00,000","₹20,00,000","₹1,50,00,000","11%"
"Tamil Nadu","₹8,00,000","₹25,00,000","₹1,00,00,000","9%"
"Telangana","₹5,00,000","₹15,00,000","₹1,00,00,000","16%"
"Punjab","₹15,00,000","₹40,00,000","₹1,00,00,000","8%"
"Haryana","₹10,00,000","₹35,00,000","₹2,00,00,000","12%"
"Kerala","₹15,00,000","₹50,00,000","₹3,00,00,000","5%"
